cpc	description	4char	3char
H01C10/16	. including plural resistive elements	H01C	H01
H01S3/101	. . Lasers provided with means to change the location from which, or the direction in which, laser radiation is emitted	H01S	H01
H04L25/12	. . Compensating for variations in line impedance	H04L	H04
H04N7/08	. Systems for the simultaneous or sequential transmission of more than one television signal, e.g. additional information signals, the signals occupying wholly or partially the same frequency band {, e.g. by time division (H04N7/007 takes precedence)}	H04N	H04
H01H2229/04	. Solder problems	H01H	H01
H01L2924/0102	. . Calcium [Ca]	H01L	H01
H01R39/00	Rotary current collectors, distributors or interrupters	H01R	H01
H01J61/92	. Lamps with more than one main discharge path	H01J	H01
H01H31/32	. . with rectilinearly-movable contact	H01H	H01
H04N5/46	. . for receiving on more than one standard at will (deflecting circuits of multi-standard receivers H04N3/27)	H04N	H04
H03K5/01	. Shaping pulses (discrimination against noise or interference H03K5/125)	H03K	H03
H03H7/24	. Frequency- independent attenuators	H03H	H03
H04B1/7163	. . using impulse radio	H04B	H04
H04B10/112	. . Line-of-sight transmission over an extended range	H04B	H04
H01T1/04	. . using magnetic blow-out	H01T	H01
H01T1/12	. Means structurally associated with spark gap for recording operation thereof	H01T	H01
H02G2200/00	Indexing scheme relating to installation of electric cables or lines covered by H02G	H02G	H02
H04B1/66	. for reducing bandwidth of signals; for improving efficiency of transmission (H04B1/68 takes precedence)	H04B	H04
H03K17/042	. . by feedback from the output circuit to the control circuit {(H03K17/0403, H03K17/0406 take precedence)}	H03K	H03
H01H50/04	. . Mounting complete relay or separate parts of relay on a base or inside a case	H01H	H01
H01R2201/04	. for network, e.g. LAN connectors	H01R	H01
H02B11/12	. with isolation by horizontal withdrawal	H02B	H02
H01B11/20	. . Cables having a multiplicity of coaxial lines	H01B	H01
H02P23/20	. Controlling the acceleration or deceleration	H02P	H02
H02P2207/076	. . wherein both supplies are made via converters: especially doubly-fed induction machines; e.g. for starting	H02P	H02
H01H1/62	. Heating or cooling of contacts	H01H	H01
H01J5/48	. Means forming part of the tube or lamp for the purpose of supporting it	H01J	H01
H01J61/50	. . Auxiliary parts or solid material within the envelope for reducing risk of explosion upon breakage of the envelope, e.g. for use in mines	H01J	H01
H03F2200/411	. the output amplifying stage of an amplifier comprising two power stages	H03F	H03
H03F2200/465	. Power sensing	H03F	H03
H01L21/04	. . the devices having at least one potential-jump barrier or surface barrier, e.g. PN junction, depletion layer or carrier concentration layer {(multistep manufacturing processes for semiconductor bodies of said devices H01L29/02; multistep manufacturing processes for electrodes of said devices H01L29/401; multistep manufacturing processes for said devices H01L29/66007)}	H01L	H01
H05H7/08	. Arrangements for injecting particles into orbits	H05H	H05
H04W36/10	. Reselecting an access point controller	H04W	H04
H01H85/44	. . Structural association with a spark-gap arrester	H01H	H01
H01H9/14	. Adaptation for built-in safety spark gaps	H01H	H01
H01C17/22	. adapted for trimming	H01C	H01
H01R29/00	Coupling parts for selective co-operation with a counterpart in different ways to establish different circuits, e.g. for voltage selection, for series-parallel selection, {programmable connectors}	H01R	H01
H02B13/02	. with metal casing	H02B	H02
H04Q2209/00	Arrangements in telecontrol or telemetry systems	H04Q	H04
H02H3/033	. . with several disconnections in a preferential order, {e.g. following priority of the users, load repartition}(H02H3/06 takes precedence)	H02H	H02
H01H50/62	. . Co-operating movable contacts operated by separate electrical actuating means	H01H	H01
H05K2203/0292	. . Using vibration, e.g. during soldering or screen printing	H05K	H05
H05K3/20	. . by affixing prefabricated conductor pattern {(H05K1/187, H05K3/046, H05K3/4658, H05K3/4682 takes precedence)}	H05K	H05
H01H2201/024	. . precious	H01H	H01
H01L2924/01039	. . Yttrium [Y]	H01L	H01
H04N7/025	. Systems for the transmission of digital non-picture data, e.g. of text during the active part of a television frame {(transmission of digital non-picture data during the vertical blanking interval only H04N7/088)}	H04N	H04
H01H3/12	. . Push-buttons	H01H	H01
H01H2229/00	Manufacturing	H01H	H01
H03M7/46	. . Conversion to or from run-length codes, i.e. by representing the number of consecutive digits, or groups of digits, of the same kind by a code word and a digit indicative of that kind	H03M	H03
H02P6/21	. . Open loop start	H02P	H02
H02K7/118	. . with starting devices	H02K	H02
H05K2203/087	. . Using a reactive gas	H05K	H05
H01M2300/0048	. . Molten electrolytes used at high temperature	H01M	H01
H02K27/22	. having means for improving commutation, e.g. auxiliary fields, double windings, double brushes	H02K	H02
H04Q2209/84	. . Measuring functions	H04Q	H04
H01H2209/082	. . transparent	H01H	H01
H01H2209/086	. . Trellis; Lattice	H01H	H01
H01H2219/00	Legends	H01H	H01
H01H2219/028	. Printed information	H01H	H01
H01H2229/02	. Laser	H01H	H01
H04N1/32	. Circuits or arrangements for control or supervision between transmitter and receiver {or between image input and image output device (H04N1/38, H04N1/387 take precedence)}	H04N	H04
H01M8/00	Fuel cells; Manufacture thereof	H01M	H01
H04N1/46	. Colour picture communication systems	H04N	H04
H04H20/26	. Arrangements for switching distribution systems	H04H	H04
H02K33/10	. . wherein the alternate energisation and de-energisation of the single coil system is effected or controlled by movement of the armatures	H02K	H02
H04N1/38	. Circuits or arrangements for blanking or otherwise eliminating unwanted parts of pictures (H04N1/387 takes precedence)	H04N	H04
H01R4/38	. . utilising a clamping member acted on by screw or nut (H01R4/50 takes precedence)	H01R	H01
H04B14/00	Transmission systems not characterised by the medium used for transmission (details thereof H04B1/00)	H04B	H04
H04J2203/0073	. . Services, e.g. multimedia, GOS, QOS	H04J	H04
H01H1/00	Contacts (liquid contacts H01H29/04)	H01H	H01
H01H2215/00	Tactile feedback	H01H	H01
H03D1/02	. Details	H03D	H03
H04Q11/08	. . Time only switching	H04Q	H04
H03G7/00	Volume compression or expansion in amplifiers {(frequency dependent H03G9/00)}	H03G	H03
H03H2240/00	Indexing scheme relating to filter banks	H03H	H03
H03B2201/0208	. . the means being an element with a variable capacitance, e.g. capacitance diode	H03B	H03
H03B2201/0216	. . the means being an element with a variable inductance	H03B	H03
H01G9/145	. Liquid electrolytic capacitors (H01G11/00 takes precedence)	H01G	H01
H01M10/61	. . Types of temperature control	H01M	H01
H01H73/38	. . reset by lever	H01H	H01
H01H31/14	. with bridging contact that is not electrically connected to either line contact in open position of switch	H01H	H01
H01P7/04	. Coaxial resonators	H01P	H01
H03H15/00	Transversal filters (electromechanical filters H03H9/46, H03H9/70)	H03H	H03
H01L41/02	. Details	H01L	H01
H01J31/00	Cathode ray tubes; Electron beam tubes (H01J25/00, H01J33/00, H01J35/00, H01J37/00 take precedence; details of cathode ray tubes or of electron beam tubes H01J29/00)	H01J	H01
H04S5/02	. of the pseudo four-channel type, e.g. in which rear channel signals are derived from two-channel stereo signals	H04S	H04
H03K7/00	Modulating pulses with a continuously-variable modulating signal	H03K	H03
H02P8/00	Arrangements for controlling dynamo-electric motors of the kind having motors rotating step by step (vector control H02P21/00)	H02P	H02
H05K2203/02	. Details related to mechanical or acoustic processing, e.g. drilling, punching, cutting, using ultrasound	H05K	H05
H01L2924/061	. . Polyolefin polymer	H01L	H01
H01J3/02	. Electron guns {(electron guns for discharge tubes with provision for introducing objects or material to be exposed to the discharge H01J37/06; for cathode ray tubes H01J29/48)}	H01J	H01
H05B2203/027	. Heaters specially adapted for glow plug igniters	H05B	H05
H01H2221/062	. Damping vibrations	H01H	H01
H05H7/10	. Arrangements for ejecting particles from orbits	H05H	H05
H05H13/00	Magnetic resonance accelerators; Cyclotrons {(strophotrons, turbine tubes H01J25/62)}	H05H	H05
H04Q2209/50	. using a mobile data collecting device, e.g. walk by or drive by	H04Q	H04
H04M2215/82	. Advice-of-Charge [AOC], i.e. notify subscriber of charges/cumulative charge; meter at the substation	H04M	H04
H05H7/16	. . of the waveguide type	H05H	H05
H05B31/00	Electric arc lamps (regulating electric characteristics of arcs G05F 1/02)	H05B	H05
H04N5/66	. Transforming electric information into light information (scanning details H04N3/00)	H04N	H04
H05K2201/09209	. . Shape and layout details of conductors	H05K	H05
H02M11/00	Power conversion systems not covered by the preceding groups	H02M	H02
H01H85/00	Protective devices in which the current flows through a part of fusible material and this current is interrupted by displacement of the fusible material when this current becomes excessive (switches actuated by melting of fusible material H01H37/76; disposition or arrangement of fuses on boards H02B1/18)	H01H	H01
H03M1/68	. . with conversions of different sensitivity, i.e. one conversion relating to the more significant digital bits and another conversion to the less significant bits	H03M	H03
H03M1/74	. . Simultaneous conversion	H03M	H03
H04R2227/001	. Adaptation of signal processing in PA systems in dependence of presence of noise	H04R	H04
H04M1/00	Substation equipment, e.g. for use by subscribers (subscriber services or facilities provided at exchanges H04M3/00; prepayment telephone coin boxes H04M17/00; current supply arrangements H04M19/08)	H04M	H04
H01J2237/0041	. . Neutralising arrangements	H01J	H01
H01B17/60	. . Composite insulating bodies	H01B	H01
H01R13/35	. . for non-simultaneous co-operation with different types of contact member, e.g. socket co-operating with either round or flat pin	H01R	H01
H01F29/10	. . having movable part of magnetic circuit {(high leakage transformers H01F38/08; dynamo-electric machines with movable part of magnetic circuit H02K23/44, H02K23/48)}	H01F	H01
H01Q5/15	. . for operation of centre-fed antennas comprising one or more collinear, substantially straight or elongated active elements	H01Q	H01
H01L2924/161	. . Cap	H01L	H01
H01B11/12	. . Arrangements for exhibiting specific transmission characteristics	H01B	H01
H04L1/02	. by diversity reception	H04L	H04
H02K27/12	. having multi-phase operation	H02K	H02
H01P7/08	. Strip line resonators	H01P	H01
H01Q19/04	. . Means for collapsing H-antennas or Yagi antennas	H01Q	H01
H01R4/00	Electrically-conductive connections between two or more conductive members in direct contact, i.e. touching one another; Means for effecting or maintaining such contact; Electrically-conductive connections having two or more spaced connecting locations for conductors and using contact members penetrating insulation	H01R	H01
H03H7/32	. . with lumped inductance and capacitance	H03H	H03
H02K19/14	. . having additional short-circuited windings for starting as asynchronous motors	H02K	H02
H01F29/08	. with core, coil, winding, or shield movable to offset variation of voltage or phase shift, e.g. induction regulators	H01F	H01
H02G15/26	. . Expansion vessels; Locking heads; Auxiliary pipe-lines	H02G	H02
H02G15/22	. . Cable terminations	H02G	H02
H04H20/55	. . for traffic information	H04H	H04
H04N5/52	. . Automatic gain control	H04N	H04
H03G3/20	. Automatic control ({H03G3/005 takes precedence } ; combined with volume compression or expansion H03G7/00)	H03G	H03
H04M2215/34	. Roaming	H04M	H04
